case,pH,Na_mol,Cl_mol,H_mol,O_mol,water_kg,charge_eq,aH,aOH,temperature_C
pure_water,6.99737572553788,0,0,11.1012433593827,5.55062167969135,0.1,1.98523347012727e-23,1.00606090868413e-07,1.00606069412979e-07,25
acid_stock,3.01488663417346,0,5e-05,5.55067166962808,2.77531083481404,0.05,-1.26588582667108e-20,0.000966303084477242,1.04741871156721e-11,25
base_stock,10.9792037260079,5e-05,0,5.55067166962808,2.77536083481404,0.05,-2.71050543121376e-20,1.04905020746378e-11,0.000964800272671517,25
equimolar,6.99720430901319,5e-05,5e-05,11.1013433392562,5.55067166962808,0.100000900614142,-6.46309299812183e-20,1.00645808044303e-07,1.00564658297394e-07,25
acid_excess,3.4894520935808,2.5e-05,5e-05,8.32600750444213,4.16299125222106,0.0750004503999712,-1.76388102872939e-20,0.000324002160690604,3.12385385503915e-11,25
base_excess,10.5048484715935,5e-05,2.5e-05,8.32600750444213,4.16301625222106,0.0750004503999712,-1.6940658945086e-20,3.12717026855437e-11,0.000323658550878955,25
increment_1,3.10139548163933,5e-06,5e-05,6.10573883659089,3.05284691829545,0.0550000900799976,6.39771033534623e-18,0.000791779983383086,1.27829331393522e-11,25
increment_2,3.18977341584789,1e-05,5e-05,6.6608060035537,3.33038300177685,0.0600001801599942,6.37596798816394e-18,0.000645991173647063,1.56678559434145e-11,25
increment_3,3.28202767818484,1.5e-05,5e-05,7.21587317051651,3.60791908525826,0.0650002702399893,6.35276522160137e-18,0.000522362897032153,1.93760291154525e-11,25
increment_4,3.38071156981197,2e-05,5e-05,7.77094033747932,3.88545516873966,0.0700003603199821,6.34672820020871e-18,0.000416186923052939,2.43192110172974e-11,25
increment_5,3.48945209358069,2.5e-05,5e-05,8.32600750444213,4.16299125222107,0.0750004503999712,6.37576649758921e-18,0.000324002160690686,3.12385385503834e-11,25
increment_6,3.61402379759618,3e-05,5e-05,8.88107467140494,4.44052733570248,0.0800005404799539,4.48870465818984e-17,0.000243207073769814,4.16162579713137e-11,25
increment_7,3.7649559813884,3.5e-05,5.00000000000001e-05,9.43614183836774,4.71806341918388,0.0850006305599239,4.49493039389223e-17,0.000171808251733336,5.89109130058346e-11,25
increment_8,3.96556244693192,4e-05,5.00000000000001e-05,9.99120900533055,4.99559950266528,0.0900007206398619,4.49281629246814e-17,0.000108252404848011,9.34980819098043e-11,25
increment_9,4.28978782794568,4.5e-05,5.00000000000001e-05,10.5462761722934,5.27313558614669,0.095000810719672,4.49515421184077e-17,5.13112000664424e-05,1.97255224254509e-10,25
increment_10,6.9972043081653,5e-05,5.00000000000001e-05,11.1013433392562,5.55067166962809,0.100000900614142,4.02173162415363e-17,1.00645808240796e-07,1.00564658101059e-07,25
acid_dilution,3.48600344136549,0,5e-05,16.6519150290108,8.3259325145054,0.150000000181244,-6.30782570414937e-21,0.000326585244288564,3.0991812606189e-11,25
